index,percentage_docks_available
0,0.8144008521764389
1,0.631813706339597
2,0.5917094443488281
3,0.7067407209111269
4,0.7989417614536796
5,0.2547240045891604
6,0.568788786864173
7,0.5808345081366202
8,0.7989417614536796
9,0.8253381359810443
10,0.6155051698966237
11,0.5370199073618671
12,0.612044960317735
13,0.8912378524967467
14,0.568788786864173
15,0.8316832904508746
16,0.7307685843413393
17,0.7489211587275337
18,0.5217566454517645
19,0.768416375768168
20,0.34117463513700447
21,0.6955428491500767
22,0.834927165315835
23,0.5186424860685463
24,0.8144008521764389
25,0.8078009902152548
26,0.5346632971887663
27,0.721212604123131
28,0.9258913387854961
29,0.24556929552132645
30,0.8506432856483351
31,0.17500838032739155
32,0.7261718665180192
33,0.10763176917715818
34,0.9060840706383634
35,0.6533610248005003
36,0.23749145597665616
37,0.4644934552636412
38,0.5103276168621462
39,0.7261718665180192
40,0.25876726762548685
41,0.8739858576359486
42,0.6046227559772749
43,0.15268755356450425
44,0.6958080560075791
45,0.6308963443360693
46,0.29221073116380797
47,0.7989417614536796
48,0.8673926780465218
49,0.8912378524967467
50,0.7261718665180192
51,0.255232529891144
52,0.4940420582223003
53,0.2752282754517117
54,0.8912378524967467
55,0.23367054038050233
56,0.686978957226868
57,0.721212604123131
58,0.7989096971465267
59,0.5917451676874027
60,0.4760954358798444
61,0.7367943198108329
62,0.5423324898691145
63,0.17371997358956062
64,0.6264696780057258
65,0.8912378524967467
66,0.9021008401487214
67,0.7307685843413393
68,0.39062171778194316
69,0.3057434730726389
70,0.611539588573282
71,0.6698256239637012
72,0.9258913387854961
73,0.21275925656287498
74,0.06455024753558182
75,0.6742763469047783
76,0.6046227559772749
77,0.7499531398107429
78,0.6595274152722811
79,0.2527373162961333
80,0.14504665392699537
81,0.5515676140169405
82,0.8392005254502962
83,0.30282945727357513
84,0.6264696780057258
85,0.8506432856483351
86,0.5917451676874027
87,0.48485168361151143
88,0.752744033659627
89,0.9163362974327788
90,0.46167281653099235
91,0.5691531469689297
92,0.3866976324290692
93,0.8912378524967467
94,0.8506432856483351
95,0.20828003104798679
96,0.5762429421387287
97,0.9258913387854961
98,0.21300598962786962
99,0.2752282754517117
100,0.7084047199131215
101,0.7164282091365423
102,0.5382370575163119
103,0.5614149500849108
104,0.19627128739798166
105,0.5810282082704222
106,0.8002463773498476
107,0.5143377587208652
108,0.1680982197886052
109,0.6196288252368928
110,0.20313988384561582
111,0.10763176917715818
112,0.7390845094411467
113,0.6304526318246109
114,0.18125068173879652
115,0.7006654362455395
116,0.4277664554325656
117,0.7893227793732072
118,0.622196681141929
119,0.4214873407469662
120,0.7006654362455395
121,0.3121815340866064
122,0.8078009902152548
123,0.5219051987942144
124,0.3324071703334401
125,0.768416375768168
126,0.8144008521764389
127,0.9163362974327788
128,0.7989417614536796
129,0.3033950622017732
130,0.8002463773498476
131,0.18037515909252658
132,0.752744033659627
